Line No,Subordinate No,CTO,Requested Part No,Processed Part No,Description,Quantity,Accepted Quantity,Unit Price,Price Amount,Tax Rate,Tax Amount,Reserved Quantity,Available Stock,Selling Price,Weight,
31,0,ZZ,600-211-5242,600-211-5242,CARTRIDGE,100,0,5.18,518.00,0.05,25.90,,100,543.90,160000,
32,0,ZZ,600-211-6242,600-211-6242,CARTRIDGE,100,0,3.88,388.00,0.05,19.40,,0,407.40,200,
33,0,ZZ,600-311-6221,600-311-6221,CARTRIDGE,50,0,3.10,155.00,0.05,7.75,,50,162.75,36500,
34,0,ZZ,600-311-8321,600-311-8321,CARTRIDGE,3000,0,5.47,16410.00,0.05,820.50,,3000,17230.50,4500000,
35,0,ZZ,600-311-9121,600-311-9121,CARTRIDGE,1000,0,5.80,5800.00,0.05,290.00,,1000,6090.00,1300000,
36,0,ZZ,600-319-3111,600-319-3111,CARTRIDGE,150,0,26.31,3946.50,0.05,197.33,,64,4143.83,480000,
37,0,ZZ,600-319-4540,600-319-4540,CARTRIDGE,600,0,59.81,35886.00,0.05,1794.30,,600,37680.30,1524000,
38,0,ZZ,600-319-3550,600-319-3550,CARTRIDGE,300,0,28.16,8448.00,0.05,422.40,,300,8870.40,996000,
39,0,ZZ,600-411-1151,600-411-1151,CARTRIDGE,1500,0,8.12,12180.00,0.05,609.00,,1500,12789.00,2610000,
40,0,ZZ,6732-71-6112,6732-71-6112,CARTRIDGE,1000,0,5.69,5690.00,0.05,284.50,,1000,5974.50,880000,
41,0,ZZ,6734-71-6120,6734-71-6120,CARTRIDGE,80,0,17.60,1408.00,0.05,70.40,,80,1478.40,75200,
42,0,ZZ,6735-51-5143,6735-51-5143,CARTRIDGE,1200,0,6.65,7980.00,0.05,399.00,,1200,8379.00,1656000,
43,0,ZZ,714-07-28712,714-07-28712,CARTRIDGE,200,0,30.09,6018.00,0.05,300.90,,0,6318.90,780000,
